Number of Time Steps:,1200,,,,,,,,,,,,,,,,,,,,,,,,
Start Date:,31-Oct-21,,,,,,,,,,,,,,,,,,,,,,,,
Start Time:,2400,,,,,,,,,,,,,,,,,,,,,,,,
End Date:,30-Sep-21,,,,,,,,,,,,,,,,,,,,,,,,
End Time:,2400,,,,,,,,,,,,,,,,,,,,,,,,
,Pathnames:,Part A:,Part B:,Part C:,UNITS,Part F:,,Col:,,,,,,,,,,,,,,,,,
,/CALSIM/C_SJR225/CHANNEL//1MON/L2020A/,CALSIM,C_SJR225,CHANNEL,TAF,L2020A,61,BI,PER-AVER,San Joaquin River Flow at Gravelly Ford,,,,,,,,,,,,,,,
,/CALSIM/C_SJR180/CHANNEL//1MON/L2020A/,CALSIM,C_SJR180,CHANNEL,TAF,L2020A,62,BJ,PER-AVER,San Joaquin River Flow below Sack Dam,,,,,,,,,,,,,,,
,/CALSIM/C_SJR115/CHANNEL//1MON/L2020A/,CALSIM,C_SJR115,CHANNEL,TAF,L2020A,63,BK,PER-AVER,San Joaquin River Flow below confluence with Merced,,,,,,,,,,,,,,,
,/CALSIM/C_SJR070/CHANNEL//1MON/L2020A/,CALSIM,C_SJR070,CHANNEL,TAF,L2020A,64,BL,PER-AVER,San Joaquin River Flow at Vernalis,,,,,,,,,,,,,,,
,/CALSIM/C_SJR070_MIF/FLOW-MIN-INSTREAM//1MON/L2020A/,CALSIM,C_SJR070_MIF,FLOW-MIN-INSTREAM,TAF,L2020A,,,PER-AVER,San Joaquin Minimum River Flow at Vernalis,,,,,,,,,,,,,,,
,/CALSIM/C_SJR070_FLOW_SELECTDV/FLOW-MIN-EFLOW//1MON/L2020A/,CALSIM,C_SJR070_FLOW_SELECTDV,FLOW-MIN-EFLOW,TAF,L2020A,,,PER-AVER,San Joaquin Minimum River eFlow requirements at Vernalis,,,,,,,,,,,,,,,
,/CALSIM/D_SAC030_MOK014/DIVERSION//1MON/L2020A/,CALSIM,D_SAC030_MOK014,DIVERSION,TAF,L2020A,65,BM,PER-AVER,Delta X-channel Flow,,,,,,,,,,,,,,,
,/CALSIM/C_SAC029B/CHANNEL//1MON/L2020A/,CALSIM,C_SAC029B,CHANNEL,TAF,L2020A,66,BN,PER-AVER,Georgianna Slough Flow,,,,,,,,,,,,,,,
,/CALSIM/C_SAC007/CHANNEL//1MON/L2020A/,CALSIM,C_SAC007,CHANNEL,TAF,L2020A,67,BO,PER-AVER,Sacramento River Flow at Rio Vista,,,,,,,,,,,,,,,
,/CALSIM/C_SAC085/CHANNEL//1MON/L2020A/,CALSIM,C_SAC085,CHANNEL,TAF,L2020A,67,BO,PER-AVER,Sacramento River Flow at node 85,,,,,,,,,,,,,,,
,/CALSIM/C_SAC122/CHANNEL//1MON/L2020A/,CALSIM,C_SAC122,CHANNEL,TAF,L2020A,67,BO,PER-AVER,Sacramento River Flow at node 122,,,,,,,,,,,,,,,
,/CALSIM/SP_SAC083_YBP037/RIVER-SPILLS//1MON/L2020A/,CALSIM,SP_SAC083_YBP037,RIVER-SPILLS,TAF,L2020A,67,BO,PER-AVER,Sacramento River Spill at node 83 (Yolo Bypass),,,,,,,,,,,,,,,
,/CALSIM/C_OMR014/CHANNEL//1MON/L2020A/,CALSIM,C_OMR014,CHANNEL,TAF,L2020A,68,BP,PER-AVER,Old and Middle River Combined Flow,,,,,,,,,,,,,,,
,/CALSIM/C_SJR013/CHANNEL//1MON/L2020A/,CALSIM,C_SJR013,CHANNEL,TAF,L2020A,69,BQ,PER-AVER,Qwest,,,,,,,,,,,,,,,
,/CALSIM/NDO/FLOW-NDO//1MON/L2020A/,CALSIM,NDO,FLOW-NDO,TAF,L2020A,70,BR,PER-AVER,Delta Outflow (Total),,,,,,,,,,,,,,,
